"country_name","continent_name","wage_span","median_salary","average_salary","lowest_salary","highest_salary","OOSR_Upper_Secondary_Age_Female","OOSR_Upper_Secondary_Age_Male","Completion_Rate_Upper_Secondary_Male","Completion_Rate_Upper_Secondary_Female","Gross_Tertiary_Education_Enrollment","Unemployment_Rate","IS_above_average","Income_gap"
"Tonga","Oceania","Monthly",668.09,778.72,195.74,3459.57,33,43,45,56,6.4,1.12,FALSE,3263.83
"Trinidad and Tobago","Caribbean","Monthly",1258.11,1445.43,364.31,6430.68,0,0,0,0,12,2.69,FALSE,6066.37
"Tunisia","Africa","Monthly",1088.33,1239.75,312.3,5520.5,0,0,40,57,31.7,16.02,FALSE,5208.2
"Turkey","Asia","Monthly",254.1,286.13,72.08,1274.12,17,17,51,44,23.9,13.49,FALSE,1202.04
"Turkmenistan","Asia","Monthly",1342.86,1500,377.14,6657.14,0,0,93,95,8,3.91,FALSE,6280
"Turks and Caicos Islands","North America","Monthly",1350,1490,380,6640,35,29,0,0,0,0,FALSE,6260
"Uganda","Africa","Monthly",645.21,698.31,176.04,3106.55,0,0,18,15,4.8,1.84,FALSE,2930.51
"Ukraine","Europe","Monthly",530.73,622.8,157.32,2761.98,4,7,97,97,82.7,8.88,FALSE,2604.66
"United Arab Emirates","Asia","Monthly",3324.25,3896.46,708.45,18637.6,2,2,0,0,36.8,2.35,TRUE,17929.15
"United Kingdom","Europe","Monthly",6300,7235.37,1829.27,32214.63,4,5,0,0,60,3.85,TRUE,30385.36
"United States","Northern America","Monthly",6966,7925,2000,35250,3,4,0,0,88.2,14.7,TRUE,33250
"Uruguay","South America","Monthly",773.64,862.2,217.24,3829.12,9,15,48,29,63.1,8.73,FALSE,3611.88
"Uzbekistan","Asia","Monthly",97.25,106.98,27.07,477.35,15,14,0,0,10.1,5.92,FALSE,450.28
"Vanuatu","Oceania","Monthly",750.74,821.77,207.3,3650.48,46,41,0,0,4.7,4.39,FALSE,3443.18
"Venezuela","South America","Monthly",3282.02,3862.91,972.99,17165.26,19,28,0,0,79.3,8.8,TRUE,16192.27
"Vietnam","Asia","Monthly",612.57,711.24,179.25,3161.52,0,0,50,61,28.5,2.01,FALSE,2982.27
"Yemen","Asia","Monthly",120.98,133.36,33.62,594.93,68,46,37,23,10.2,12.91,FALSE,561.31
"Zambia","Africa","Monthly",0.26133504,0.28552394,0.072092424,1.2711033,0,0,33,27,4.1,11.43,FALSE,1.199010876
"Zimbabwe","Africa","Monthly",555.40204,602.37635,151.42305,2674.772,50,45,17,14,10,4.95,FALSE,2523.34895
